Tema,Termino,Puntuacion
0,debat,0.1004076105445063
0,matthei,0.096588165774698281
0,vot,0.088549955710105016
0,program,0.087250249091574861
0,rn,0.085401085728422574
0,vuelt,0.084214252406054069
0,campañ,0.080874828311063407
0,gobiern,0.079223476105454813
0,udi,0.076330052182616515
0,parisi,0.075113098167627818
1,rn,0.2609743525979315
1,udi,0.2252973388782003
1,reform,-0.15653384963557007
1,educ,-0.14517433443266747
1,tributari,-0.14200020247615439
1,unid,0.13804715546686161
1,consej,0.12907632491387894
1,impuest,-0.11320069343885857
1,general,0.11224830509584283
1,larrain,0.10667193760205143
2,encuest,0.37044164433912269
2,vuelt,0.27746812290160527
2,segund,0.21678733518373855
2,parisi,0.19689678183009274
2,vot,0.1858801788629261
2,debat,0.16637755996362186
2,cep,0.13601077629234945
2,rn,-0.11379022705731054
2,result,0.11246558663303283
2,udi,-0.11150960804359226
3,debat,0.41441671510792394
3,anatel,0.18161860419923145
3,encuest,-0.14633273839227259
3,elizald,0.14571931645304323
3,vot,-0.13508771499116512
3,asoci,0.13401410604166
3,vuelt,-0.11760237061557639
3,for,0.11748173254039355
3,format,0.11676269589856857
3,impuest,-0.1114145489781052
4,parisi,0.22657023958984657
4,debat,-0.19089554640878753
4,querell,0.1453910686931279
4,pag,0.13699330610636162
4,primari,-0.12767532995319555
4,deud,0.12648091843998266
4,reform,-0.11327373410332089
4,dc,-0.10972176525076324
4,matthei,0.10425534505316443
4,colegi,0.10200885318756683
5,debat,0.30310472090218743
5,rn,0.15718132692082573
5,impuest,0.15386757095190107
5,anatel,0.14312076601734045
5,parisi,0.13315071061723099
5,tributari,0.12529889890157164
5,vot,-0.11802143057381009
5,udi,0.11046636278133388
5,econom,0.099327280033086496
5,empres,0.096349442357722012
6,encuest,0.24100247893314164
6,elizald,0.20474849744671275
6,vocer,0.17263482994907189
6,blanc,0.14751724907012301
6,educ,-0.13266733777232018
6,impuest,0.13020509203680622
6,intervencion,0.11507040563553021
6,tributari,0.11133761166257049
6,cep,0.10303963490324185
6,gobern,0.097265452446751582
7,parisi,-0.19885909873025973
7,firm,-0.15882364511359723
7,horvath,-0.14539968090299413
7,notari,-0.128325313517025
7,golp,0.1258755197395163
7,perdon,0.12507123122563055
7,encuest,0.12086415857207811
7,program,-0.11908409265994446
7,longueir,0.10589054782174341
7,debat,0.10269352580891272
8,program,-0.16626794748750237
8,primari,0.15935681110828243
8,horvath,-0.14391062858506518
8,allamand,0.12388559014689619
8,impuest,0.12348271412314495
8,tem,-0.11910699377996271
8,academi,0.11594148532306237
8,guerr,0.11025220273373795
8,general,0.11021155362967029
8,elizald,0.10569308567319009
9,tributari,0.16783548501370896
9,capacit,-0.16751854381529488
9,reconstruccion,-0.16732493226065581
9,reform,0.14400029257449085
9,dc,0.13539919431335928
9,region,-0.13000278387696956
9,impuest,0.12911108095762899
9,encuest,-0.12510727962537438
9,mujer,-0.11940294081586204
9,trabaj,-0.10647997281151918
